ficto:Praxis,rdfs:label,skos:related,ficto:hasTextualTransmission,ficto:linkedTo
habit_12,Flacon de cocaïne,habit,http://vocab.getty.edu/page/aat/300015644,
habit_12,Funeste abitude [à la cocaïne],habit,http://vocab.getty.edu/page/aat/300015644,
pers_style_7,Pèlerine rouge,personal_style,http://vocab.getty.edu/page/aat/300404309,fairy_tales
pers_style_8,Une petite jupe,personal_style,http://vocab.getty.edu/page/aat/300404309,fairy_tales
attitude_15,Rabbuiarsi,attitude,http://vocab.getty.edu/page/aat/300404309,
attitude_16,Silenzioso,attitude,http://vocab.getty.edu/page/aat/300404309,
exp_habit_17,"Elementare, mio caro Dupin",expression_habit,http://vocab.getty.edu/page/aat/300404309,detective_fiction
kin_habit_6,Battere un pugno sul tavolo,kinetic_habit,http://vocab.getty.edu/page/aat/300404309,
mannerism_5,A capo chino,kinetic_habit,http://vocab.getty.edu/page/aat/300015644,
pers_style_9,Mantello a larghe pieghe,personal_style,http://vocab.getty.edu/page/aat/300404309,
pers_style_10,Singolare berretto,personal_style,http://vocab.getty.edu/page/aat/300404309,
