ficto:NarrativeSegment,ficto:involves,ficto:hasNarrativeInstance,ficto:hasFormOfSpeech,cito:cites,prov:value
narr_seg_expr_1.53,sherlock_doyle1,narrator_1.1,narrated-speech,attitude_4,"«Con un’aria noncurante che mi sembrava rasentare l’affettazione, fece avanti e indietro lungo il marciapiede, guardando con espressione assente il terreno, il cielo, le case di fronte e la staccionata […]. Si fermò due volte, e in un caso lo vidi sorridere mentre lanciava un’esclamazione soddisfatta»"
narr_seg_expr_1.53,,,,kin_habit_2,
narr_seg_expr_1.53,,,,exp_habit_1,
narr_seg_expr_1.54,sherlock_doyle1,narrator_1.1,narrated-speech,expertise_1,«Tuttavia avevo avuto così clamorose conferme di quanto fossero fulminee le sue capacità percettive che non dubitavo fosse in grado di scorgere tante cose a me nascoste»
narr_seg_expr_1.55,sherlock_doyle1,narrator_1.1,narrated-speech,kin_habit_3,"«Mentre parlava le sue agili dita svolazzavano dappertutto, premendo, tastando, sbottonando, esaminando, anche se gli occhi mantenevano la medesima espressione assente […]»"
narr_seg_expr_1.56,sherlock_doyle1,narrator_1.1,narrated-speech,recur_p_obj_1,«Non aveva ancora finito di parlare che tirò fuori di tasca un metro a nastro e una grossa lente d'ingrandimento»
narr_seg_expr_1.56,,,,recur_p_obj_2,
narr_seg_expr_1.57,sherlock_doyle1,narrator_1.1,narrated-speech,attitude_5,"«Era talmente assorto nell’operazione che sembrava essersi dimenticato della nostra presenza, visto che monologava sottovoce tutto il tempo, con un fuoco di fila di esclamazioni, grugniti, fischi e gridolini di giubilo e incoraggiamento»"
narr_seg_expr_1.57,,,,exp_habit_2,
narr_seg_expr_1.57,,,,exp_habit_3,
narr_seg_expr_1.57,,,,exp_habit_4,
narr_seg_expr_1.57,,,,exp_habit_5,
narr_seg_expr_1.57,,,,exp_habit_6,
narr_seg_expr_1.57,,,,exp_habit_7,
narr_seg_expr_1.58,sherlock_doyle1,narrator_1.1,narrated-speech,symb_imag_1,«Mi ricordava un bracco di razza ben addestrato che scatta a destra e a manca nel sottobosco […]»
narr_seg_expr_1.59,sherlock_doyle1,narrator_1.1,narrated-speech,self_perception,"«Il mio compagno arrossì, compiaciuto per le mie parole e per il tono convinto con cui le avevo pronunciate. Avevo già notato che era sensibile sulle sue doti quanto può esserlo una fanciulla riguardo la propria avvenenza»"
narr_seg_expr_1.60,sherlock_doyle1,narrator_1.1,narrated-speech,symb_imag_2,"«Il segugio dilettante attaccò a cantare come un’allodola, appoggiato allo schienale della carrozza […]»"
narr_seg_expr_1.60,,,,symb_imag_3,
