ficto:NarrativeSegment,ficto:involves,ficto:hasNarrativeInstance,ficto:hasFormOfSpeech,cito:cites,prov:value
narr_seg_expr_4.12,,,,symb_imag_5,
narr_seg_expr_4.13,sherlock_doyle4,narrator_4.2,narrated-speech,psych_prof_5,«Et Holmes retomba dans une apathie analogue à celle qui a dû saisir Wellington et toute l'Angleterre lorsque nous eûmes cloué Napoléon au rocher de Saint-Hélèn»
narr_seg_expr_4.14,sherlock_doyle4,narrator_4.2,narrated-speech,expertise_3,"«Moi-même, habitué pourtant aux stupéfiants facilités de déduction de mon co-locataire, comme à son innocente manie d’étonner la galerie […]»"
narr_seg_expr_4.14,,,,attitude_14,
narr_seg_expr_4.15,sherlock_doyle4,narrator_4.2,direct-speech,expertise_2,"«Il me suffit de lire sur l'aspect extérieur des gens. C'est mon métier de mieux voir que le commun des mortels, et c'est pour ça que vous êtes venue me consulter, fit-il en riant»"
narr_seg_expr_4.15,,,,self_perception,
narr_seg_expr_4.16,sherlock_doyle4,narrator_4.2,narrated-speech,psych_prof_9,"«Holmes lui même, cette impassible mécanique intellectuelle, était plus ému qu'il ne le voulait paraître»"
narr_seg_expr_4.16,,,,psych_prof_8,
narr_seg_expr_4.17,sherlock_doyle4,narrator_4.2,narrated-speech,symb_imag_6,«Je trouvai à Sherlock Holmes des allures de félin tandis qu'il marchait de long en large dans un état de fébrilité qui contrastait avec son abattement de l'heure précédente»
narr_seg_expr_4.17,,,,psych_prof_4,
narr_seg_expr_4.17,,,,psych_prof_5,
narr_seg_expr_4.18,sherlock_doyle4,narrator_4.2,direct-speech,expression_2,"«Elémentaire, mon cher Watson!»"
narr_seg_expr_4.19,sherlock_doyle4,narrator_4.2,direct-speech,methodology,"«Les crimes banals sont parfois l'œuvre d'esprits dérangés fit Holmes, mais en règle générale, les affaires les plus extraordinaires s'expliquent souvent par les mobiles les plus terre à terre. Rappelez-vous, Watson, l'affaire des rouquins»"
narr_seg_expr_4.20,sherlock_doyle4,narrator_4.2,direct-speech,exp_habit_13,"«Vide?» fit Holmes, «voilà qui est intéressant»"
narr_seg_expr_4.21,sherlock_doyle4,narrator_4.2,narrated-speech,symb_imag_1,"«Holmes ressemblait maintenant au chien de chasse sur la piste du gibier. Sans plus se soucier de Lestrade ni de ses agents, il s’aplatit sur le tapis, flairant positivement le moindre recoin de la pièce»"
narr_seg_expr_4.22,sherlock_doyle4,narrator_4.2,narrated-speech,recur_p_obj_2,«sa loupe»
narr_seg_expr_4.23,sherlock_doyle4,narrator_4.2,narrated-speech,recur_p_obj_1,"«Puis il considéra longuement la surface de marbre qui couvrait celle-ci, allant jusqu'à la mesurer à l'aide du mètre pliant qui ne le quittait jamais»"
narr_seg_expr_4.24,sherlock_doyle4,narrator_4.2,narrated-speech,recur_p_obj_3,"«Holmes se détendit soudain, allumant sa courte bouffarde»"
narr_seg_expr_4.25,sherlock_doyle4,narrator_4.2,narrated-speech,psych_prof_10,«La suffisance est un des menus défauts de ce grand esprit qu’est Sherlock Holmes»
narr_seg_expr_4.26,sherlock_doyle4,narrator_4.2,narrated-speech,exp_habit_14,«[...]avec la voix impérieuse qui caractérise le Holmes des grandes occasions»
narr_seg_expr_4.27,sherlock_doyle4,narrator_4.2,narrated-speech,pers_style_7,«Holmes ridiculement accoutré d’une pèlerine rouge et d’une petite jupe»
narr_seg_expr_4.27,,,,pers_style_8,
narr_seg_expr_5.1,sherlock_doyle5,narrator_5.1,narrated-speech,feature_1,"«Stanno poi sorbendo i loro cappuccini quando un uomo alto, ben riconoscibile dal mantello a larghe pieghe e dal singolare berretto, viene a esaminare le loro targhette con una grossa lente - Permettete? Holmes, - dice presentando anche il suo compagno, sul risvolto del quale si legge: «Dr. Watson»"
narr_seg_expr_5.1,,,,pers_style_9,
narr_seg_expr_5.1,,,,pers_style_10,
narr_seg_expr_5.1,,,,recur_p_obj_2,
narr_seg_expr_5.1,,,,name,
narr_seg_expr_5.2,sherlock_doyle5,narrator_5.1,direct-speech,expression_3,"«- Elementare, mio caro Dupin! - sorride Holmes, seccato in realtà di essere stato prevenuto»"
narr_seg_expr_5.2,,,,kin_habit_2,
narr_seg_expr_5.2,,,,emo_state_12,
narr_seg_expr_5.3,sherlock_doyle5,narrator_5.1,narrated-speech,recur_p_obj_2,"«[…] per dare la parola a Holmes, che ha alzato la sua lente. - C’è - dice l’esperto di cani fluorescenti, - un puntino che vorrei mettere subito su una certa i […]»"
narr_seg_expr_5.3,,,,symb_imag_7,
narr_seg_expr_5.4,sherlock_doyle5,narrator_5.1,narrated-speech,kin_habit_2,"«- Grazie, - sorride a sua volta Holmes. - È quello che temevo»"
narr_seg_expr_5.5,sherlock_doyle5,narrator_5.1,narrated-speech,belief_2,«Holmes[...] ha come un brivido alla parola fantasmi»
narr_seg_expr_5.6,sherlock_doyle5,narrator_5.1,direct-speech,knowledge_5,"«Holmes - Si tratta comunque di beghe meschine, indegne di un gentleman. I prestiti, gli scambi, i rimbalzi di temi e personaggi da un autore all’altro, hanno sempre fatto parte del gioco letterario»"
narr_seg_expr_5.7,sherlock_doyle5,narrator_5.1,direct-speech,psych_prof_11,"«Holmes (fantomatico) - Escogitò da vivo, ma preferì tacere da morto»"
narr_seg_expr_5.8,sherlock_doyle5,narrator_5.1,direct-speech,expertise_3,«ll quale ha cominciato a dubitare (come Holmes e Dupin deducono facilmente da sua espressione) che tanta rassomiglianza sia dovuta puro caso»
narr_seg_expr_5.9,sherlock_doyle5,narrator_5.1,direct-speech,attitude_15,"«Vediamo allora Holmes rabbuiarsi, e capiamo subito perché»"
narr_seg_expr_5.10,sherlock_doyle5,narrator_5.1,direct-speech,belief_2,"«Si capisce perciò che ogni fatto paranormale lo allarmi, nel corso di questo convegno, e tanto già l’autentica trance […]»"
narr_seg_expr_5.11,sherlock_doyle5,narrator_5.1,narrated-speech,kin_habit_6,"«Holmes, a queste parole, ha battuto un pugno sul tavolo e se n’è andato dicendo che non c’era più dubbio: era lo spirito di Dickens a provocare i fenomeni, per ammonire che la verità sul caso Drood non doveva venire alla luce»"
narr_seg_expr_5.11,,,,belief_2,
narr_seg_expr_5.12,sherlock_doyle5,narrator_5.1,narrated-speech,psych_prof_12,"«Holmes (lugubre) - Sarà, e anzi per me andrebbe benissimo… Ma non vedo allora perché, nella sua comunicazione dall’aldilà, l’autore mi avrebbe detto di non volere che la verità venisse in luce»"
narr_seg_expr_5.12,,,direct-speech,belief_2,
narr_seg_expr_5.13,sherlock_doyle5,narrator_5.1,narrated-speech,expertise_1,«S’interrompe. Si capisce che il suo istinto di indagatore sta lottando contro la promessa fatta allo spirito di Dickens. Infine scuote la testa e rinuncia a proseguire»
narr_seg_expr_5.13,,,,belief_2,
narr_seg_expr_5.14,sherlock_doyle5,narrator_5.1,narrated-speech,emo_state_13,«Holmes (pallido come un morto) [...]»
narr_seg_expr_5.15,sherlock_doyle5,narrator_5.1,narrated-speech,attitude_16,"«Holmes (silenzioso e a capo chino, ignora gli sguardi dei colleghi e le domande a bassa voce di Watson)»"
narr_seg_expr_5.15,,,,kin_habit_7,
narr_seg_expr_5.16,sherlock_doyle5,narrator_5.1,indirect-style,belief_2,"«Fu un caso (si chiede qui Poirot) a farmi ricordare di quei fantasmi [...]. Fu così che cominciai a riflettere sui soprannaturali timori di Holmes, e a chiedermi se non avessero dopo tutto un fondamento reale»"
