ficto:Axiology,rdfs:label,skos:related,ficto:hasTextualTransmission,ficto:linkedTo
belief_1,Scepticism,scepticism,http://vocab.getty.edu/page/aat/300015644,
belief_2,Spiritualism,spiritualism,http://vocab.getty.edu/page/aat/300404309,
exist_outlook,Existential outlook,existential_outlook,http://vocab.getty.edu/page/aat/300015644,
methodology,Method,method,http://vocab.getty.edu/page/aat/300015644,detective_fiction
principle,Principle,principle,http://vocab.getty.edu/page/aat/300015644,
